synthesizer,seed,n_active,outcome_noise_probability,configuration,coverage,width,feasible,n_candidates,n_rounds,false_certainty,mean_compatible_states,full_coverage,full_width,coverage_change,width_change,coverage_improved,coverage_worsened
external_ordinal,20262716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8567526455026455,0.0,0.07181878306878287,False,False
external_ordinal,20263716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8631746031746032,0.0,0.06539682539682523,False,False
external_ordinal,20264716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8675925925925926,0.0,0.0609788359788358,False,False
external_ordinal,20265716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8639616402116402,0.0,0.06460978835978815,False,False
external_ordinal,20266716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8632473544973546,0.0,0.06532407407407381,False,False
external_ordinal,20267716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8643386243386243,0.0,0.06423280423280409,False,False
external_ordinal,20268716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8560912698412699,0.0,0.07248015873015845,False,False
external_ordinal,20269716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8571428571428572,0.0,0.07142857142857117,False,False
external_ordinal,20270716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8641732804232805,0.0,0.06439814814814793,False,False
external_ordinal,20271716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8601058201058202,0.0,0.06846560846560823,False,False
external_ordinal,20272716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.861633597883598,0.0,0.06693783068783044,False,False
external_ordinal,20273716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8590079365079365,0.0,0.06956349206349188,False,False
external_ordinal,20274716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8659259259259259,0.0,0.0626455026455025,False,False
external_ordinal,20275716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.863095238095238,0.0,0.06547619047619035,False,False
external_ordinal,20276716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8597156084656085,0.0,0.06885582010581992,False,False
external_ordinal,20277716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8700066137566137,0.0,0.05856481481481468,False,False
external_ordinal,20278716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8668650793650793,0.0,0.0617063492063491,False,False
external_ordinal,20279716,,,external_without_elimination,1.0,0.9285714285714284,1.0,7.0,3.0,0.0,980.0,1.0,0.8664087301587301,0.0,0.06216269841269828,False,False
external_ordinal,20260716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8352132936507937,0.0,0.0695486111111111,False,False
external_ordinal,20261716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8317708333333333,0.0,0.07299107142857142,False,False
external_ordinal,20262716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8321825396825397,0.0,0.07257936507936502,False,False
external_ordinal,20263716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8306051587301587,0.0,0.07415674603174605,False,False
external_ordinal,20264716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.833561507936508,0.0,0.0712003968253968,False,False
external_ordinal,20265716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8372222222222222,0.0,0.06753968253968257,False,False
external_ordinal,20266716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8271329365079365,0.0,0.07762896825396826,False,False
external_ordinal,20267716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8342212301587302,0.0,0.07054067460317459,False,False
external_ordinal,20268716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8310565476190476,0.0,0.0737053571428572,False,False
external_ordinal,20269716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8270287698412698,0.0,0.07773313492063494,False,False
external_ordinal,20270716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8338789682539682,0.0,0.07088293650793653,False,False
external_ordinal,20271716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8302132936507937,0.0,0.07454861111111111,False,False
external_ordinal,20272716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8314136904761905,0.0,0.07334821428571425,False,False
external_ordinal,20273716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8288789682539683,0.0,0.07588293650793643,False,False
external_ordinal,20274716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.833407738095238,0.0,0.07135416666666672,False,False
external_ordinal,20275716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.830500992063492,0.0,0.07426091269841273,False,False
external_ordinal,20276716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8373908730158731,0.0,0.06737103174603165,False,False
external_ordinal,20277716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8303571428571428,0.0,0.07440476190476197,False,False
external_ordinal,20278716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8301785714285715,0.0,0.07458333333333322,False,False
external_ordinal,20279716,,,external_without_elimination,1.0,0.9047619047619048,1.0,7.0,4.0,0.0,738.0,1.0,0.8288244047619048,0.0,0.07593749999999999,False,False
external_ordinal,20260716,,,external_without_save,0.2833333333333333,0.7305555555555556,0.9916666666666667,6.0,3.0,0.7083333333333334,66.67222222222223,1.0,0.7861111111111111,-0.7166666666666667,-0.05555555555555547,False,True
external_ordinal,20261716,,,external_without_save,0.25833333333333336,0.7376388888888888,0.9916666666666667,6.0,3.0,0.7333333333333333,64.76944444444445,1.0,0.7920833333333334,-0.7416666666666667,-0.05444444444444452,False,True
external_ordinal,20262716,,,external_without_save,0.15833333333333333,0.7380555555555556,0.9916666666666667,6.0,3.0,0.8333333333333334,67.27777777777777,1.0,0.7962037037037037,-0.8416666666666667,-0.05814814814814817,False,True
external_ordinal,20263716,,,external_without_save,0.275,0.7296296296296296,0.9916666666666667,6.0,3.0,0.7166666666666667,65.92777777777778,1.0,0.7913888888888889,-0.725,-0.06175925925925929,False,True
external_ordinal,20264716,,,external_without_save,0.24166666666666667,0.7342129629629629,0.975,6.0,3.0,0.7333333333333333,65.53333333333333,1.0,0.7881944444444444,-0.7583333333333333,-0.05398148148148152,False,True
external_ordinal,20265716,,,external_without_save,0.25,0.7464351851851851,0.9916666666666667,6.0,3.0,0.7416666666666667,67.45833333333333,1.0,0.7999537037037037,-0.75,-0.05351851851851852,False,True
external_ordinal,20266716,,,external_without_save,0.20833333333333334,0.7427777777777779,0.9916666666666667,6.0,3.0,0.7833333333333333,66.35,1.0,0.7976851851851853,-0.7916666666666666,-0.054907407407407405,False,True
external_ordinal,20267716,,,external_without_save,0.14166666666666666,0.7295833333333334,1.0,6.0,3.0,0.8583333333333333,64.55,1.0,0.7879166666666666,-0.8583333333333334,-0.05833333333333324,False,True
external_ordinal,20268716,,,external_without_save,0.25833333333333336,0.7415277777777778,0.9833333333333333,6.0,3.0,0.725,64.45833333333333,1.0,0.7931018518518518,-0.7416666666666667,-0.051574074074073994,False,True
