synthesizer,seed,n_active,outcome_noise_probability,configuration,coverage,width,feasible,n_candidates,n_rounds,false_certainty,mean_compatible_states
internal_percentage,20264716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,4.0,0.2,internal_full_rule,0.936,0.8116331073584946,1.0,,,,
internal_percentage,20264716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,5.0,0.0,internal_full_rule,1.0,0.845730465318593,1.0,,,,
internal_percentage,20264716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,5.0,0.05,internal_full_rule,0.976,0.8496782730877018,1.0,,,,
internal_percentage,20264716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,5.0,0.1,internal_full_rule,0.968,0.8397478037866859,1.0,,,,
internal_percentage,20264716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,5.0,0.2,internal_full_rule,0.9,0.8307508479732992,1.0,,,,
internal_percentage,20264716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,6.0,0.0,internal_full_rule,1.0,0.864769083482641,1.0,,,,
internal_percentage,20264716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,6.0,0.05,internal_full_rule,0.964,0.8620928303841329,1.0,,,,
internal_percentage,20264716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,6.0,0.1,internal_full_rule,0.948,0.8545069131466344,1.0,,,,
internal_percentage,20264716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20264716,6.0,0.2,internal_full_rule,0.916,0.8540706985803719,1.0,,,,
internal_percentage,20264716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,4.0,0.0,internal_full_rule,1.0,0.8299546084025942,1.0,,,,
internal_percentage,20265716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,4.0,0.05,internal_full_rule,0.984,0.8232149964950326,1.0,,,,
internal_percentage,20265716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,4.0,0.1,internal_full_rule,0.948,0.8100312431856216,1.0,,,,
internal_percentage,20265716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,4.0,0.2,internal_full_rule,0.912,0.8091045218558195,1.0,,,,
internal_percentage,20265716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,5.0,0.0,internal_full_rule,1.0,0.8508978498945693,1.0,,,,
internal_percentage,20265716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,5.0,0.05,internal_full_rule,0.984,0.8430035073391925,1.0,,,,
internal_percentage,20265716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,5.0,0.1,internal_full_rule,0.96,0.8365034616712352,1.0,,,,
internal_percentage,20265716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,5.0,0.2,internal_full_rule,0.94,0.8384023221971383,1.0,,,,
internal_percentage,20265716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,6.0,0.0,internal_full_rule,1.0,0.864256386982373,1.0,,,,
internal_percentage,20265716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,6.0,0.05,internal_full_rule,0.976,0.8632527375515893,1.0,,,,
internal_percentage,20265716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,6.0,0.1,internal_full_rule,0.948,0.8572966246459354,1.0,,,,
internal_percentage,20265716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20265716,6.0,0.2,internal_full_rule,0.904,0.846756858668676,1.0,,,,
internal_percentage,20265716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,4.0,0.0,internal_full_rule,1.0,0.8255932326253932,1.0,,,,
internal_percentage,20266716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,4.0,0.05,internal_full_rule,0.984,0.821497673427456,1.0,,,,
internal_percentage,20266716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,4.0,0.1,internal_full_rule,0.952,0.8101635425237023,1.0,,,,
internal_percentage,20266716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,4.0,0.2,internal_full_rule,0.888,0.8016049885652027,1.0,,,,
internal_percentage,20266716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,5.0,0.0,internal_full_rule,1.0,0.8467480071932764,1.0,,,,
internal_percentage,20266716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,5.0,0.05,internal_full_rule,0.98,0.846115552816956,1.0,,,,
internal_percentage,20266716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,5.0,0.1,internal_full_rule,0.964,0.8426269855231383,1.0,,,,
internal_percentage,20266716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,5.0,0.2,internal_full_rule,0.904,0.8302527440995786,1.0,,,,
internal_percentage,20266716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,6.0,0.0,internal_full_rule,1.0,0.8636183033514305,1.0,,,,
internal_percentage,20266716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,6.0,0.05,internal_full_rule,0.976,0.8620577281312897,1.0,,,,
internal_percentage,20266716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,6.0,0.1,internal_full_rule,0.952,0.8612965902739946,1.0,,,,
internal_percentage,20266716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20266716,6.0,0.2,internal_full_rule,0.92,0.8537488577400378,1.0,,,,
internal_percentage,20266716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,4.0,0.0,internal_full_rule,1.0,0.8276735754988755,1.0,,,,
internal_percentage,20267716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,4.0,0.05,internal_full_rule,0.956,0.8153365369624502,1.0,,,,
internal_percentage,20267716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,4.0,0.1,internal_full_rule,0.968,0.815559248217303,1.0,,,,
internal_percentage,20267716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,4.0,0.2,internal_full_rule,0.896,0.8115005737611041,1.0,,,,
internal_percentage,20267716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,5.0,0.0,internal_full_rule,1.0,0.8489319504500569,1.0,,,,
internal_percentage,20267716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,5.0,0.05,internal_full_rule,0.988,0.8493058117594656,1.0,,,,
internal_percentage,20267716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,5.0,0.1,internal_full_rule,0.956,0.8391640741684304,1.0,,,,
internal_percentage,20267716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,5.0,0.2,internal_full_rule,0.888,0.824559215042243,1.0,,,,
internal_percentage,20267716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,6.0,0.0,internal_full_rule,1.0,0.8610609359838067,1.0,,,,
internal_percentage,20267716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,6.0,0.05,internal_full_rule,0.988,0.862948065281413,1.0,,,,
internal_percentage,20267716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,6.0,0.1,internal_full_rule,0.948,0.8583629250730902,1.0,,,,
internal_percentage,20267716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20267716,6.0,0.2,internal_full_rule,0.924,0.8561058544813295,1.0,,,,
internal_percentage,20267716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,4.0,0.0,internal_full_rule,1.0,0.8268134607235774,1.0,,,,
internal_percentage,20268716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,4.0,0.05,internal_full_rule,0.98,0.8214220973734406,1.0,,,,
internal_percentage,20268716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,4.0,0.1,internal_full_rule,0.956,0.8155455195476687,1.0,,,,
internal_percentage,20268716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,4.0,0.2,internal_full_rule,0.896,0.7982199103394328,1.0,,,,
internal_percentage,20268716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,5.0,0.0,internal_full_rule,1.0,0.8488324827841279,1.0,,,,
internal_percentage,20268716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,5.0,0.05,internal_full_rule,0.98,0.8427795848611839,1.0,,,,
internal_percentage,20268716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,5.0,0.1,internal_full_rule,0.976,0.8406579737784612,1.0,,,,
internal_percentage,20268716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,5.0,0.2,internal_full_rule,0.948,0.8283448200680485,1.0,,,,
internal_percentage,20268716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,6.0,0.0,internal_full_rule,1.0,0.8657282490069371,1.0,,,,
internal_percentage,20268716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,6.0,0.05,internal_full_rule,0.984,0.8660119184892625,1.0,,,,
internal_percentage,20268716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,6.0,0.1,internal_full_rule,0.964,0.8548426914088633,1.0,,,,
internal_percentage,20268716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20268716,6.0,0.2,internal_full_rule,0.928,0.8574422757516333,1.0,,,,
internal_percentage,20268716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,4.0,0.0,internal_full_rule,1.0,0.8238160923492897,1.0,,,,
internal_percentage,20269716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,4.0,0.05,internal_full_rule,0.98,0.8166973969305839,1.0,,,,
internal_percentage,20269716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,4.0,0.1,internal_full_rule,0.968,0.8248878967272495,1.0,,,,
internal_percentage,20269716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,4.0,0.2,internal_full_rule,0.908,0.8001510295408667,1.0,,,,
internal_percentage,20269716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,5.0,0.0,internal_full_rule,1.0,0.841153047754399,1.0,,,,
internal_percentage,20269716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,5.0,0.05,internal_full_rule,0.984,0.8415893266134012,1.0,,,,
internal_percentage,20269716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,5.0,0.1,internal_full_rule,0.976,0.8443331246471111,1.0,,,,
internal_percentage,20269716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,5.0,0.2,internal_full_rule,0.908,0.8314200350464972,1.0,,,,
internal_percentage,20269716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,6.0,0.0,internal_full_rule,1.0,0.8661592199625212,1.0,,,,
internal_percentage,20269716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,6.0,0.05,internal_full_rule,0.98,0.8662430302852583,1.0,,,,
internal_percentage,20269716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,6.0,0.1,internal_full_rule,0.964,0.8594199737123542,1.0,,,,
internal_percentage,20269716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20269716,6.0,0.2,internal_full_rule,0.904,0.84849611325502,1.0,,,,
internal_percentage,20269716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,4.0,0.0,internal_full_rule,1.0,0.8211519928551431,1.0,,,,
internal_percentage,20270716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,4.0,0.05,internal_full_rule,0.98,0.8180032417822501,1.0,,,,
internal_percentage,20270716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,4.0,0.1,internal_full_rule,0.952,0.8152891064805425,1.0,,,,
internal_percentage,20270716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,4.0,0.2,internal_full_rule,0.904,0.8037005116377366,1.0,,,,
internal_percentage,20270716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,5.0,0.0,internal_full_rule,1.0,0.8469239947850673,1.0,,,,
internal_percentage,20270716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,5.0,0.05,internal_full_rule,0.98,0.8409890834668188,1.0,,,,
internal_percentage,20270716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,5.0,0.1,internal_full_rule,0.952,0.8386346709374952,1.0,,,,
internal_percentage,20270716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,5.0,0.2,internal_full_rule,0.94,0.8351949542690814,1.0,,,,
internal_percentage,20270716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,6.0,0.0,internal_full_rule,1.0,0.8595344240707224,1.0,,,,
internal_percentage,20270716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,6.0,0.05,internal_full_rule,0.964,0.862379592661383,1.0,,,,
internal_percentage,20270716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,6.0,0.1,internal_full_rule,0.968,0.8586401955534537,1.0,,,,
internal_percentage,20270716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20270716,6.0,0.2,internal_full_rule,0.92,0.8526367843553071,1.0,,,,
internal_percentage,20270716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,4.0,0.0,internal_full_rule,1.0,0.8233254898548906,1.0,,,,
internal_percentage,20271716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,4.0,0.05,internal_full_rule,0.992,0.8228923288283008,1.0,,,,
internal_percentage,20271716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,4.0,0.1,internal_full_rule,0.956,0.8146534875022844,1.0,,,,
internal_percentage,20271716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,4.0,0.2,internal_full_rule,0.916,0.8114108033594045,1.0,,,,
internal_percentage,20271716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,5.0,0.0,internal_full_rule,1.0,0.8431898403380661,1.0,,,,
internal_percentage,20271716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,5.0,0.05,internal_full_rule,0.972,0.8425408136172302,1.0,,,,
internal_percentage,20271716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,5.0,0.1,internal_full_rule,0.976,0.8395422694132126,1.0,,,,
internal_percentage,20271716,5.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,5.0,0.2,internal_full_rule,0.924,0.8364519465691495,1.0,,,,
internal_percentage,20271716,5.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,6.0,0.0,internal_full_rule,1.0,0.8613527622629344,1.0,,,,
internal_percentage,20271716,6.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,6.0,0.05,internal_full_rule,0.968,0.8605217495466648,1.0,,,,
internal_percentage,20271716,6.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,6.0,0.1,internal_full_rule,0.96,0.8588484639036307,1.0,,,,
internal_percentage,20271716,6.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20271716,6.0,0.2,internal_full_rule,0.916,0.8498910979689921,1.0,,,,
internal_percentage,20271716,6.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20272716,4.0,0.0,internal_full_rule,1.0,0.8244310505226414,1.0,,,,
internal_percentage,20272716,4.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20272716,4.0,0.05,internal_full_rule,0.976,0.8226839980959404,1.0,,,,
internal_percentage,20272716,4.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20272716,4.0,0.1,internal_full_rule,0.96,0.813199665507731,1.0,,,,
internal_percentage,20272716,4.0,0.1,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20272716,4.0,0.2,internal_full_rule,0.9,0.8005324003825423,1.0,,,,
internal_percentage,20272716,4.0,0.2,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20272716,5.0,0.0,internal_full_rule,1.0,0.8495063697146756,1.0,,,,
internal_percentage,20272716,5.0,0.0,internal_without_elimination,1.0,1.0,1.0,,,,
internal_percentage,20272716,5.0,0.05,internal_full_rule,0.984,0.8444492487689272,1.0,,,,
internal_percentage,20272716,5.0,0.05,internal_without_elimination,1.0,1.0,1.0,,,,
