synthesizer,seed,n_active,outcome_noise_probability,method,coverage,width,n_candidates,n_rounds
internal_percentage,20263716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20263716,6.0,0.2,rule_aware_partial_identification,0.904,0.8584288100026434,,
external_ordinal,20263716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20263716,,,rule_aware_discretion,1.0,0.9525925925925927,6.0,3.0
external_ordinal,20263716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20263716,,,rule_aware_discretion,1.0,0.9643055555555555,7.0,3.0
external_ordinal,20263716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20263716,,,rule_aware_discretion,1.0,0.9575099206349207,7.0,4.0
internal_percentage,20264716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,4.0,0.0,rule_aware_partial_identification,1.0,0.8265054064208833,,
internal_percentage,20264716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,4.0,0.05,rule_aware_partial_identification,0.972,0.8197204823401599,,
internal_percentage,20264716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,4.0,0.1,rule_aware_partial_identification,0.936,0.8155816656938853,,
internal_percentage,20264716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,4.0,0.2,rule_aware_partial_identification,0.936,0.8116331073584946,,
internal_percentage,20264716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,5.0,0.0,rule_aware_partial_identification,1.0,0.845730465318593,,
internal_percentage,20264716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,5.0,0.05,rule_aware_partial_identification,0.976,0.8496782730877018,,
internal_percentage,20264716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,5.0,0.1,rule_aware_partial_identification,0.968,0.8397478037866859,,
internal_percentage,20264716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,5.0,0.2,rule_aware_partial_identification,0.9,0.8307508479732992,,
internal_percentage,20264716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,6.0,0.0,rule_aware_partial_identification,1.0,0.864769083482641,,
internal_percentage,20264716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,6.0,0.05,rule_aware_partial_identification,0.964,0.8620928303841329,,
internal_percentage,20264716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,6.0,0.1,rule_aware_partial_identification,0.948,0.8545069131466344,,
internal_percentage,20264716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20264716,6.0,0.2,rule_aware_partial_identification,0.916,0.8540706985803719,,
external_ordinal,20264716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20264716,,,rule_aware_discretion,1.0,0.9540277777777779,6.0,3.0
external_ordinal,20264716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20264716,,,rule_aware_discretion,1.0,0.9668915343915344,7.0,3.0
external_ordinal,20264716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20264716,,,rule_aware_discretion,1.0,0.9604811507936508,7.0,4.0
internal_percentage,20265716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,4.0,0.0,rule_aware_partial_identification,1.0,0.8299546084025942,,
internal_percentage,20265716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,4.0,0.05,rule_aware_partial_identification,0.984,0.8232149964950326,,
internal_percentage,20265716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,4.0,0.1,rule_aware_partial_identification,0.948,0.8100312431856216,,
internal_percentage,20265716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,4.0,0.2,rule_aware_partial_identification,0.912,0.8091045218558195,,
internal_percentage,20265716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,5.0,0.0,rule_aware_partial_identification,1.0,0.8508978498945693,,
internal_percentage,20265716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,5.0,0.05,rule_aware_partial_identification,0.984,0.8430035073391925,,
internal_percentage,20265716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,5.0,0.1,rule_aware_partial_identification,0.96,0.8365034616712352,,
internal_percentage,20265716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,5.0,0.2,rule_aware_partial_identification,0.94,0.8384023221971383,,
internal_percentage,20265716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,6.0,0.0,rule_aware_partial_identification,1.0,0.864256386982373,,
internal_percentage,20265716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,6.0,0.05,rule_aware_partial_identification,0.976,0.8632527375515893,,
internal_percentage,20265716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,6.0,0.1,rule_aware_partial_identification,0.948,0.8572966246459354,,
internal_percentage,20265716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20265716,6.0,0.2,rule_aware_partial_identification,0.904,0.846756858668676,,
external_ordinal,20265716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20265716,,,rule_aware_discretion,1.0,0.961111111111111,6.0,3.0
external_ordinal,20265716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20265716,,,rule_aware_discretion,1.0,0.9621957671957673,7.0,3.0
external_ordinal,20265716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20265716,,,rule_aware_discretion,1.0,0.9641815476190476,7.0,4.0
internal_percentage,20266716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,4.0,0.0,rule_aware_partial_identification,1.0,0.8255932326253932,,
internal_percentage,20266716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,4.0,0.05,rule_aware_partial_identification,0.984,0.821497673427456,,
internal_percentage,20266716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,4.0,0.1,rule_aware_partial_identification,0.952,0.8101635425237023,,
internal_percentage,20266716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,4.0,0.2,rule_aware_partial_identification,0.888,0.8016049885652027,,
internal_percentage,20266716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,5.0,0.0,rule_aware_partial_identification,1.0,0.8467480071932764,,
internal_percentage,20266716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,5.0,0.05,rule_aware_partial_identification,0.98,0.846115552816956,,
internal_percentage,20266716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,5.0,0.1,rule_aware_partial_identification,0.964,0.8426269855231383,,
internal_percentage,20266716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,5.0,0.2,rule_aware_partial_identification,0.904,0.8302527440995786,,
internal_percentage,20266716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,6.0,0.0,rule_aware_partial_identification,1.0,0.8636183033514305,,
internal_percentage,20266716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,6.0,0.05,rule_aware_partial_identification,0.976,0.8620577281312897,,
internal_percentage,20266716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,6.0,0.1,rule_aware_partial_identification,0.952,0.8612965902739946,,
internal_percentage,20266716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20266716,6.0,0.2,rule_aware_partial_identification,0.92,0.8537488577400378,,
external_ordinal,20266716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20266716,,,rule_aware_discretion,1.0,0.9545833333333335,6.0,3.0
external_ordinal,20266716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20266716,,,rule_aware_discretion,1.0,0.9603240740740742,7.0,3.0
external_ordinal,20266716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20266716,,,rule_aware_discretion,1.0,0.9547569444444445,7.0,4.0
internal_percentage,20267716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,4.0,0.0,rule_aware_partial_identification,1.0,0.8276735754988755,,
internal_percentage,20267716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,4.0,0.05,rule_aware_partial_identification,0.956,0.8153365369624502,,
internal_percentage,20267716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,4.0,0.1,rule_aware_partial_identification,0.968,0.815559248217303,,
internal_percentage,20267716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,4.0,0.2,rule_aware_partial_identification,0.896,0.8115005737611041,,
internal_percentage,20267716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,5.0,0.0,rule_aware_partial_identification,1.0,0.8489319504500569,,
internal_percentage,20267716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,5.0,0.05,rule_aware_partial_identification,0.988,0.8493058117594656,,
internal_percentage,20267716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,5.0,0.1,rule_aware_partial_identification,0.956,0.8391640741684304,,
internal_percentage,20267716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,5.0,0.2,rule_aware_partial_identification,0.888,0.824559215042243,,
internal_percentage,20267716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,6.0,0.0,rule_aware_partial_identification,1.0,0.8610609359838067,,
internal_percentage,20267716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,6.0,0.05,rule_aware_partial_identification,0.988,0.862948065281413,,
internal_percentage,20267716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,6.0,0.1,rule_aware_partial_identification,0.948,0.8583629250730902,,
internal_percentage,20267716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20267716,6.0,0.2,rule_aware_partial_identification,0.924,0.8561058544813295,,
external_ordinal,20267716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20267716,,,rule_aware_discretion,1.0,0.9536574074074075,6.0,3.0
external_ordinal,20267716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
external_ordinal,20267716,,,rule_aware_discretion,1.0,0.9621164021164021,7.0,3.0
external_ordinal,20267716,,,rule_agnostic_ordinal,1.0,1.0,7.0,4.0
external_ordinal,20267716,,,rule_aware_discretion,1.0,0.9609275793650794,7.0,4.0
internal_percentage,20268716,4.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,4.0,0.0,rule_aware_partial_identification,1.0,0.8268134607235774,,
internal_percentage,20268716,4.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,4.0,0.05,rule_aware_partial_identification,0.98,0.8214220973734406,,
internal_percentage,20268716,4.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,4.0,0.1,rule_aware_partial_identification,0.956,0.8155455195476687,,
internal_percentage,20268716,4.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,4.0,0.2,rule_aware_partial_identification,0.896,0.7982199103394328,,
internal_percentage,20268716,5.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,5.0,0.0,rule_aware_partial_identification,1.0,0.8488324827841279,,
internal_percentage,20268716,5.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,5.0,0.05,rule_aware_partial_identification,0.98,0.8427795848611839,,
internal_percentage,20268716,5.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,5.0,0.1,rule_aware_partial_identification,0.976,0.8406579737784612,,
internal_percentage,20268716,5.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,5.0,0.2,rule_aware_partial_identification,0.948,0.8283448200680485,,
internal_percentage,20268716,6.0,0.0,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,6.0,0.0,rule_aware_partial_identification,1.0,0.8657282490069371,,
internal_percentage,20268716,6.0,0.05,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,6.0,0.05,rule_aware_partial_identification,0.984,0.8660119184892625,,
internal_percentage,20268716,6.0,0.1,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,6.0,0.1,rule_aware_partial_identification,0.964,0.8548426914088633,,
internal_percentage,20268716,6.0,0.2,rule_agnostic_partial_identification,1.0,1.0,,
internal_percentage,20268716,6.0,0.2,rule_aware_partial_identification,0.928,0.8574422757516333,,
external_ordinal,20268716,,,rule_agnostic_ordinal,1.0,1.0,6.0,3.0
external_ordinal,20268716,,,rule_aware_discretion,1.0,0.9531018518518519,6.0,3.0
external_ordinal,20268716,,,rule_agnostic_ordinal,1.0,1.0,7.0,3.0
