seed,n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,projection_box_coverage,mean_width
20267716,4,0.2,rule_aware_partial_identification,250,0.772,0.896,0.811500573761
20267716,5,0,rule_agnostic_partial_identification,250,1,1,1
20267716,5,0,rule_aware_partial_identification,250,1,1,0.84893195045
20267716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20267716,5,0.05,rule_aware_partial_identification,250,0.948,0.988,0.849305811759
20267716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20267716,5,0.1,rule_aware_partial_identification,250,0.904,0.956,0.839164074168
20267716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20267716,5,0.2,rule_aware_partial_identification,250,0.74,0.888,0.824559215042
20267716,6,0,rule_agnostic_partial_identification,250,1,1,1
20267716,6,0,rule_aware_partial_identification,250,1,1,0.861060935984
20267716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20267716,6,0.05,rule_aware_partial_identification,250,0.964,0.988,0.862948065281
20267716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20267716,6,0.1,rule_aware_partial_identification,250,0.84,0.948,0.858362925073
20267716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20267716,6,0.2,rule_aware_partial_identification,250,0.764,0.924,0.856105854481
20268716,4,0,rule_agnostic_partial_identification,250,1,1,1
20268716,4,0,rule_aware_partial_identification,250,1,1,0.826813460724
20268716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20268716,4,0.05,rule_aware_partial_identification,250,0.956,0.98,0.821422097373
20268716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20268716,4,0.1,rule_aware_partial_identification,250,0.912,0.956,0.815545519548
20268716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20268716,4,0.2,rule_aware_partial_identification,250,0.78,0.896,0.798219910339
20268716,5,0,rule_agnostic_partial_identification,250,1,1,1
20268716,5,0,rule_aware_partial_identification,250,1,1,0.848832482784
20268716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20268716,5,0.05,rule_aware_partial_identification,250,0.956,0.98,0.842779584861
20268716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20268716,5,0.1,rule_aware_partial_identification,250,0.936,0.976,0.840657973778
20268716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20268716,5,0.2,rule_aware_partial_identification,250,0.848,0.948,0.828344820068
20268716,6,0,rule_agnostic_partial_identification,250,1,1,1
20268716,6,0,rule_aware_partial_identification,250,1,1,0.865728249007
20268716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20268716,6,0.05,rule_aware_partial_identification,250,0.964,0.984,0.866011918489
20268716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20268716,6,0.1,rule_aware_partial_identification,250,0.896,0.964,0.854842691409
20268716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20268716,6,0.2,rule_aware_partial_identification,250,0.832,0.928,0.857442275752
20269716,4,0,rule_agnostic_partial_identification,250,1,1,1
20269716,4,0,rule_aware_partial_identification,250,1,1,0.823816092349
20269716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20269716,4,0.05,rule_aware_partial_identification,250,0.956,0.98,0.816697396931
20269716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20269716,4,0.1,rule_aware_partial_identification,250,0.896,0.968,0.824887896727
20269716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20269716,4,0.2,rule_aware_partial_identification,250,0.804,0.908,0.800151029541
20269716,5,0,rule_agnostic_partial_identification,250,1,1,1
20269716,5,0,rule_aware_partial_identification,250,1,1,0.841153047754
20269716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20269716,5,0.05,rule_aware_partial_identification,250,0.964,0.984,0.841589326613
20269716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20269716,5,0.1,rule_aware_partial_identification,250,0.94,0.976,0.844333124647
20269716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20269716,5,0.2,rule_aware_partial_identification,250,0.792,0.908,0.831420035046
20269716,6,0,rule_agnostic_partial_identification,250,1,1,1
20269716,6,0,rule_aware_partial_identification,250,1,1,0.866159219963
